iter	RMSE
0	3520.772368
1	3212.23202
2	2940.662866
3	2698.534321
4	2480.547915
5	2283.569995
6	2121.133735
7	1971.0587
8	1833.761458
9	1711.681226
10	1609.585989
11	1521.180201
12	1442.681285
13	1373.028113
14	1313.278154
15	1259.155671
16	1213.747091
17	1168.865286
18	1127.405446
19	1085.543994
20	1048.610055
21	1016.047512
22	988.0181892
23	963.7426697
24	943.0369635
25	925.7333368
26	911.4367567
27	898.734153
28	886.7331532
29	877.9011829
30	869.8457911
31	862.9292226
32	853.2912927
33	848.2785183
34	840.3934621
35	836.2317562
36	831.4139475
37	826.3997716
38	822.1607914
39	818.7741402
40	810.4787063
41	807.4367768
42	804.2719125
43	802.0773627
44	798.2130917
45	795.0053663
46	792.1921999
47	790.8032626
48	784.2450073
49	782.6259227
50	777.9973337
51	776.4514264
52	775.1341861
53	773.6191513
54	772.287919
55	770.6909117
56	768.0311235
57	767.5878446
58	763.7449926
59	762.7707289
60	758.5344934
61	756.2509038
62	755.1785077
63	751.9972011
64	750.989294
65	749.80259
66	747.509927
67	744.8580715
68	742.8921038
69	742.4769119
70	738.65447
71	736.1886419
72	735.1585808
73	735.1571829
74	735.1560467
75	735.1551232
76	732.1299848
77	731.1696315
78	731.1691508
79	728.8518371
80	727.0227816
81	724.7820811
82	722.2696323
83	720.1121396
84	719.467396
85	718.4353713
86	717.2069918
87	717.2002361
88	714.5876762
89	712.0201278
90	710.2217013
91	708.7061461
92	708.15692
93	706.1469404
94	704.3988104
95	703.4735886
96	702.1547014
97	702.0896134
98	701.6219071
99	698.9863787
100	697.4687702
101	695.3595436
102	693.5303231
103	692.7465098
104	692.3033367
105	690.918017
106	688.7636429
107	686.7385939
108	685.269562
109	684.5523197
110	683.738369
111	682.4282981
112	681.5786655
113	680.4575859
114	679.4466881
115	679.0477863
116	677.9038919
117	676.1396975
118	674.2727899
119	673.0393888
120	672.0414751
121	671.677566
122	668.8304797
123	668.3621697
124	667.9960405
125	667.4903011
126	666.7668333
127	665.4228525
128	664.7793973
129	664.4799978
130	662.9533336
131	662.1973073
132	660.6362549
133	660.026518
134	658.8796565
135	657.0150491
136	655.2711791
137	653.6801607
138	652.0767447
139	650.7937876
140	650.3071538
141	649.8637108
142	649.6039538
143	649.3967047
144	648.2826301
145	646.6105178
146	646.348647
147	645.8184095
148	644.8429927
149	644.5788449
150	643.6839168
151	643.2636647
152	642.4850913
153	641.7093726
154	641.0669357
155	639.9018817
156	639.1379482
157	638.6054322
158	637.7226837
159	636.8687547
160	636.2153284
161	636.0411706
162	635.0802897
163	634.2223326
164	633.5881341
165	633.1643092
166	632.9460814
167	632.6034692
168	631.2380023
169	630.2412527
170	629.3641671
171	629.2286761
172	628.7128148
173	627.7716109
174	627.1483123
175	626.8340968
176	626.0642647
177	625.4134049
178	625.1358965
179	624.5952698
180	624.2474811
181	623.6118953
182	623.5103444
