iter	Passed	Remaining
0	65	64964
1	75	37876
2	86	28651
3	95	23797
4	104	20837
5	114	18911
6	120	17149
7	130	16180
8	139	15411
9	149	14755
10	158	14261
11	168	13833
12	177	13458
13	186	13153
14	196	12870
15	206	12670
16	215	12472
17	225	12302
18	234	12110
19	244	11974
20	253	11835
21	267	11877
22	276	11751
23	285	11604
24	293	11453
25	303	11387
26	318	11480
27	329	11439
28	339	11365
29	349	11288
30	363	11350
31	373	11294
32	383	11251
33	394	11215
34	409	11298
35	424	11355
36	435	11325
37	468	11855
38	483	11907
39	494	11861
40	515	12047
41	530	12095
42	541	12041
43	549	11948
44	564	11972
45	573	11903
46	580	11772
47	585	11619
48	598	11609
49	608	11552
50	619	11521
51	630	11503
52	641	11470
53	654	11469
54	666	11443
55	677	11412
56	682	11292
57	693	11266
58	705	11249
59	713	11177
60	723	11140
61	735	11120
62	745	11091
63	751	10987
64	761	10956
65	770	10903
66	781	10881
67	791	10846
68	797	10757
69	808	10745
70	819	10719
71	827	10663
72	837	10628
73	845	10579
74	853	10525
75	861	10470
76	871	10449
77	882	10436
78	891	10398
79	897	10321
80	909	10324
81	920	10302
82	926	10232
83	932	10165
84	945	10174
85	955	10155
86	961	10091
87	970	10060
88	987	10109
89	997	10088
90	1006	10058
91	1017	10038
92	1026	10014
93	1036	9989
94	1046	9965
95	1056	9949
96	1066	9925
97	1075	9900
98	1088	9907
99	1099	9893
100	1110	9885
101	1121	9876
102	1137	9904
103	1147	9882
104	1160	9893
105	1166	9839
106	1172	9784
107	1178	9732
108	1183	9676
109	1189	9621
110	1194	9568
111	1199	9511
112	1205	9458
113	1210	9405
114	1215	9355
115	1221	9306
116	1226	9258
117	1232	9210
118	1237	9164
119	1243	9120
120	1248	9071
121	1254	9025
122	1259	8982
123	1265	8937
124	1270	8893
125	1275	8850
126	1281	8807
127	1286	8764
128	1295	8750
129	1309	8763
130	1320	8756
131	1325	8716
132	1330	8675
133	1336	8635
134	1341	8596
135	1347	8559
136	1353	8523
137	1358	8488
138	1364	8454
139	1370	8417
140	1376	8384
141	1381	8349
142	1387	8315
143	1393	8280
144	1398	8247
145	1404	8215
146	1409	8181
147	1415	8150
148	1425	8142
149	1431	8111
150	1437	8080
151	1452	8101
152	1462	8095
153	1468	8066
154	1480	8072
155	1493	8078
156	1509	8103
157	1520	8104
158	1532	8107
159	1547	8123
160	1560	8131
161	1572	8132
162	1583	8130
163	1594	8126
164	1604	8121
165	1615	8114
166	1629	8128
167	1640	8122
168	1654	8137
169	1665	8129
170	1674	8118
171	1687	8122
172	1705	8154
173	1720	8169
174	1728	8146
175	1743	8161
176	1756	8165
177	1761	8135
178	1766	8104
179	1772	8074
180	1777	8044
181	1800	8090
182	1809	8080
183	1816	8055
184	1821	8026
185	1827	7997
186	1846	8028
187	1852	8002
188	1858	7972
189	1863	7943
190	1868	7915
191	1873	7885
192	1879	7857
193	1896	7880
194	1909	7883
195	1915	7856
196	1920	7828
197	1925	7801
198	1935	7792
199	1943	7773
200	1949	7748
201	1957	7733
202	1963	7707
203	1969	7683
204	1974	7657
205	1992	7681
206	1998	7655
207	2003	7630
208	2009	7605
209	2015	7583
210	2021	7558
211	2026	7533
212	2032	7510
213	2038	7488
214	2043	7460
215	2048	7436
216	2054	7414
217	2060	7392
218	2066	7368
219	2071	7345
220	2080	7334
221	2088	7317
222	2095	7301
223	2108	7303
224	2118	7297
225	2124	7276
226	2134	7269
227	2145	7265
228	2156	7259
229	2162	7239
230	2175	7241
231	2188	7246
232	2201	7247
233	2210	7235
234	2223	7237
235	2234	7234
236	2239	7211
237	2250	7204
238	2261	7201
239	2269	7187
240	2275	7167
241	2289	7170
242	2300	7165
243	2305	7143
244	2317	7140
245	2329	7139
246	2336	7123
247	2344	7108
248	2355	7103
249	2366	7098
